City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Shingu,JP,33.7333,135.9833,54.59,46,6,8.46,clear sky
132,Saint Anthony,US,45.0205,-93.218,34.48,74,1,1.99,clear sky
133,Pevek,RU,69.7008,170.3133,-32.49,96,10,1.92,clear sky
134,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,82,100,9.22,light rain
135,Gisborne,NZ,-38.6533,178.0042,75.94,86,100,3.78,light rain
136,Aksu,CN,41.1231,80.2644,25.68,56,21,1.19,few clouds
137,Point Pleasant,US,40.0832,-74.0682,43.95,62,1,1.01,clear sky
138,Kaitangata,NZ,-46.2817,169.8464,63.93,68,44,7.4,scattered clouds
139,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.79,54,75,31.07,broken clouds
140,Yarensk,RU,62.1675,49.0916,3.06,98,93,4.25,overcast clouds
141,Aksarka,RU,66.5606,67.7975,-14.71,100,88,3.47,overcast clouds
142,Leningradskiy,RU,69.3833,178.4167,-30.77,89,9,3.83,clear sky
143,Soe,ID,-9.8607,124.284,84.92,50,80,3.89,broken clouds
144,Clyde River,CA,70.4692,-68.5914,-18.06,99,91,4.74,overcast clouds
145,Kibre Mengist,ET,5.8833,38.9833,51.73,81,95,3.18,overcast clouds
146,Nishihara,JP,26.1842,127.7558,67.28,75,90,14.97,drizzle
147,Opuwo,NA,-18.0607,13.84,72.41,66,64,9.51,broken clouds
148,Georgetown,MY,5.4112,100.3354,86.9,71,20,5.01,few clouds
149,Asfi,MA,32.2994,-9.2372,61.95,57,15,2.91,few clouds
150,Souillac,MU,-20.5167,57.5167,80.37,78,75,6.91,broken clouds
151,Shitanjing,CN,39.2342,106.3439,28.53,21,0,1.7,clear sky
152,Acapulco,MX,16.8634,-99.8901,78.04,76,2,3.11,clear sky
153,Mago,RU,53.2514,140.1822,23.94,91,100,8.75,light snow
154,East London,ZA,-33.0153,27.9116,70.74,78,0,10.36,clear sky
155,Borazjan,IR,29.2666,51.2159,56.53,41,2,0.04,clear sky
156,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,75,4.61,light rain
157,Grand Gaube,MU,-20.0064,57.6608,80.38,67,6,7.0,clear sky
158,Dunajska Streda,SK,47.9927,17.6121,36.1,85,32,11.36,light snow
159,Dingle,PH,10.9995,122.6711,82.15,82,89,12.73,overcast clouds
160,Gornopravdinsk,RU,60.05,69.9,-2.67,100,88,3.58,overcast clouds
