City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Burns Lake,54.2331,-125.7533,17.02,76,87,2.98,CA,2021-12-12 21:15:22
118,Faanui,-16.4833,-151.75,80.71,72,68,9.62,PF,2021-12-12 21:19:55
119,Severo-Kurilsk,50.6789,156.125,32.65,90,81,10.27,RU,2021-12-12 21:18:57
120,Sabancuy,18.9667,-91.1833,78.93,78,73,7.56,MX,2021-12-12 21:19:55
121,Atar,20.5169,-13.0499,73.69,14,76,9.55,MR,2021-12-12 21:19:56
122,Upernavik,72.7868,-56.1549,6.28,92,100,10.31,GL,2021-12-12 21:17:48
123,Portland,45.5234,-122.6762,46.15,89,75,3.0,US,2021-12-12 21:16:01
124,Prainha,-1.8,-53.48,84.49,65,97,3.89,BR,2021-12-12 21:19:56
125,Khatanga,71.9667,102.5,-51.43,100,83,2.26,RU,2021-12-12 21:17:43
126,Palatka,29.6486,-81.6376,70.09,85,100,4.72,US,2021-12-12 21:19:57
127,Zhigansk,66.7697,123.3711,-38.63,100,98,6.4,RU,2021-12-12 21:19:57
128,Hambantota,6.1241,81.1185,78.67,80,100,13.4,LK,2021-12-12 21:19:58
129,Mar Del Plata,-38.0023,-57.5575,69.87,77,100,13.0,AR,2021-12-12 21:19:58
130,Santa Isabel,-23.3156,-46.2214,77.65,68,96,6.55,BR,2021-12-12 21:16:13
131,Dharmanagar,24.3667,92.1667,55.62,94,0,2.01,IN,2021-12-12 21:19:59
132,Alofi,-19.0595,-169.9187,82.29,65,10,9.22,NU,2021-12-12 21:19:59
133,Caravelas,-17.7125,-39.2481,77.43,84,42,8.3,BR,2021-12-12 21:20:00
134,Hilo,19.7297,-155.09,79.11,56,20,5.75,US,2021-12-12 21:17:01
